twitter_id,political_affiliation/party,coalition/block
2412517861,Det Konservative Folkeparti,Blue
49028277,Alternativet,Red
2799582269,Enhedslisten,Red
235646319,Socialistisk Folkeparti,Red
2797971941,Enhedslisten,Red
2544289442,Dansk Folkeparti,Blue
251828791,Socialistisk Folkeparti,Red
24687777,Det Konservative Folkeparti,Blue
168644257,Venstre,Blue
546254893,Socialdemokratiet,Red
23776194,Socialdemokratiet,Red
2654457451,Socialistisk Folkeparti,Red
1338661411,Liberal Alliance,Blue
415658367,Liberal Alliance,Blue
202796813,Socialdemokratiet,Red
2784039197,Venstre,Blue
335814018,Liberal Alliance,Blue
2218774262,Socialistisk Folkeparti,Red
2369220993,Venstre,Blue
3092153482,Liberal Alliance,Blue
15243853,Venstre,Blue
2583573230,Socialistisk Folkeparti,Red
2635288930,Socialdemokratiet,Red
1520213642,Liberal Alliance,Blue
258748680,Liberal Alliance,Blue
2412215869,Dansk Folkeparti,Blue
3123406113,Venstre,Blue
28096144,Venstre,Blue
22778942,Liberal Alliance,Blue
158400170,Socialistisk Folkeparti,Red
76577820,Det Konservative Folkeparti,Blue
49412991,Socialdemokratiet,Red
1909336063,Socialistisk Folkeparti,Red
3083869486,Socialistisk Folkeparti,Red
901549837,Radikale Venstre,Red
322072600,Radikale Venstre,Red
1154461321,Radikale Venstre,Red
3030949006,Socialdemokratiet,Red
2835401176,Socialistisk Folkeparti,Red
27499757,Alternativet,Red
2204489776,Socialistisk Folkeparti,Red
552139115,Det Konservative Folkeparti,Blue
531595033,Dansk Folkeparti,Blue
988390315,Venstre,Blue
2299688236,Det Konservative Folkeparti,Blue
2974452425,Det Konservative Folkeparti,Blue
1713337812,Liberal Alliance,Blue
2766323458,Alternativet,Red
2394055528,Liberal Alliance,Blue
2828651368,Enhedslisten,Red
2572897801,Det Konservative Folkeparti,Blue
1923512756,KristenDemokraterne,Blue
1524057840,Socialdemokratiet,Red
1070745218,Radikale Venstre,Red
186076143,Venstre,Blue
19876290,Socialistisk Folkeparti,Red
193037197,Venstre,Blue
32918298,Radikale Venstre,Red
564932837,Dansk Folkeparti,Blue
65025162,Socialistisk Folkeparti,Red
1632362310,Radikale Venstre,Red
565582931,KristenDemokraterne,Blue
1307208991,Radikale Venstre,Red
2304249887,Socialistisk Folkeparti,Red
222113299,Radikale Venstre,Red
149979904,Liberal Alliance,Blue
3078990207,Socialistisk Folkeparti,Red
945341425,Radikale Venstre,Red
29185405,Venstre,Blue
189849902,Radikale Venstre,Red
330994820,Radikale Venstre,Red
1613378210,Dansk Folkeparti,Blue
3026312501,Alternativet,Red
2554415384,Liberal Alliance,Blue
1558420544,Radikale Venstre,Red
2604077670,Socialistisk Folkeparti,Red
55260297,KristenDemokraterne,Blue
2391109702,Radikale Venstre,Red
595006074,Socialdemokratiet,Red
3055510995,Liberal Alliance,Blue
1911739476,Liberal Alliance,Blue
217542227,Enhedslisten,Red
2588922663,Enhedslisten,Red
2453303762,Dansk Folkeparti,Blue
3083442419,Alternativet,Red
130160241,Socialdemokratiet,Red
16955917,Radikale Venstre,Red
69690163,Enhedslisten,Red
1017741134,Radikale Venstre,Red
1105763670,Liberal Alliance,Blue
1917710322,Dansk Folkeparti,Blue
1461427434,Socialdemokratiet,Red
1863386773,Alternativet,Red
2737352882,Det Konservative Folkeparti,Blue
1192676882,Alternativet,Red
1667677735,Socialistisk Folkeparti,Red
2980860688,Venstre,Blue
1667366742,Venstre,Blue
2927175207,Socialdemokratiet,Red
2967600160,Socialistisk Folkeparti,Red
38429769,Socialdemokratiet,Red
3043794129,Liberal Alliance,Blue
1907803429,Liberal Alliance,Blue
1921490514,Liberal Alliance,Blue
2570558981,Venstre,Blue
2243503535,Enhedslisten,Red
64384867,Venstre,Blue
2481729049,Venstre,Blue
337779051,Venstre,Blue
2178017319,Socialistisk Folkeparti,Red
3087521367,Det Konservative Folkeparti,Blue
2901163817,Dansk Folkeparti,Blue
1127968447,Alternativet,Red
2373406198,Socialistisk Folkeparti,Red
2234506529,Socialdemokratiet,Red
2580385852,Socialdemokratiet,Red
2748367396,Venstre,Blue
24890088,Socialdemokratiet,Red
2958394569,KristenDemokraterne,Blue
55288288,Det Konservative Folkeparti,Blue
1726140348,Enhedslisten,Red
2267384794,Radikale Venstre,Red
1079806855,Det Konservative Folkeparti,Blue
33848504,Alternativet,Red
132471731,Radikale Venstre,Red
281431471,Dansk Folkeparti,Blue
2965907578,Venstre,Blue
2222188479,Liberal Alliance,Blue
570126962,Enhedslisten,Red
256562068,Radikale Venstre,Red
2368516215,Venstre,Blue
16270209,Venstre,Blue
1889483214,Socialistisk Folkeparti,Red
66639249,Liberal Alliance,Blue
118342816,Socialdemokratiet,Red
2886095615,Socialdemokratiet,Red
2176119633,Venstre,Blue
477624486,Liberal Alliance,Blue
1560591889,Socialistisk Folkeparti,Red
1377530305,Socialdemokratiet,Red
2456947186,Enhedslisten,Red
2806166418,Dansk Folkeparti,Blue
263075264,KristenDemokraterne,Blue
361432091,Socialistisk Folkeparti,Red
2653982067,Radikale Venstre,Red
37877392,Det Konservative Folkeparti,Blue
1068643124,Socialdemokratiet,Red
42582801,Det Konservative Folkeparti,Blue
155584627,Venstre,Blue
2844288230,Liberal Alliance,Blue
1495154216,Socialdemokratiet,Red
16303506,Socialistisk Folkeparti,Red
92107029,Radikale Venstre,Red
2477464974,Dansk Folkeparti,Blue
26210681,Liberal Alliance,Blue
462890727,Alternativet,Red
2752253209,Dansk Folkeparti,Blue
1182800635,Dansk Folkeparti,Blue
15878401,Socialistisk Folkeparti,Red
1731700688,Radikale Venstre,Red
2873047508,Socialdemokratiet,Red
440323649,Det Konservative Folkeparti,Blue
827279426,Dansk Folkeparti,Blue
1680161270,Socialdemokratiet,Red
563220669,Socialdemokratiet,Red
14117635,Liberal Alliance,Blue
1808585779,Radikale Venstre,Red
2830241066,Socialdemokratiet,Red
279986859,Venstre,Blue
210413879,Socialdemokratiet,Red
2717228143,Socialdemokratiet,Red
1381845433,Venstre,Blue
1218988039,Socialdemokratiet,Red
2409484824,Liberal Alliance,Blue
2851596065,Enhedslisten,Red
56400417,Radikale Venstre,Red
67289447,Radikale Venstre,Red
2894281065,KristenDemokraterne,Blue
22467612,Alternativet,Red
233944496,Radikale Venstre,Red
3042457853,Alternativet,Red
88184493,Venstre,Blue
26110155,Socialdemokratiet,Red
19233129,Radikale Venstre,Red
500041790,Socialdemokratiet,Red
906516619,Socialdemokratiet,Red
2926540587,Socialistisk Folkeparti,Red
44611200,Venstre,Blue
917577752,Socialistisk Folkeparti,Red
2156179558,Liberal Alliance,Blue
2426453536,Socialistisk Folkeparti,Red
34026528,Enhedslisten,Red
2834793159,Radikale Venstre,Red
416913906,Alternativet,Red
823648254,Socialdemokratiet,Red
250057999,Venstre,Blue
1054527661,Socialdemokratiet,Red
3108704116,Alternativet,Red
21386694,Radikale Venstre,Red
233261424,Venstre,Blue
2769904943,Venstre,Blue
348959857,KristenDemokraterne,Blue
9679302,Venstre,Blue
1390010864,Det Konservative Folkeparti,Blue
63959111,Venstre,Blue
1243488368,Venstre,Blue
39721646,Alternativet,Red
520266902,Socialdemokratiet,Red
2828267959,Venstre,Blue
2797922192,Socialistisk Folkeparti,Red
2177874445,KristenDemokraterne,Blue
1938234398,Enhedslisten,Red
374672361,Radikale Venstre,Red
